id;authors;title;language_code;average_rating;ratings_count;work_ratings_count;work_text_reviews_count
1;Suzanne Collins;The Hunger Games (The Hunger Games, #1);eng;4.34;4780653;4942365;155254
2;J.K. Rowling, Mary GrandPrÃ©;Harry Potter and the Sorcerer's Stone (Harry Potter, #1);eng;4.44;4602479;4800065;75867
3;Stephenie Meyer;Twilight (Twilight, #1);en-US;3.57;3866839;3916824;95009
4;Harper Lee;To Kill a Mockingbird;eng;4.25;3198671;3340896;72586
5;F. Scott Fitzgerald;The Great Gatsby;eng;3.89;2683664;2773745;51992
6;John Green;The Fault in Our Stars;eng;4.26;2346404;2478609;140739
7;J.R.R. Tolkien;The Hobbit;en-US;4.25;2071616;2196809;37653
8;J.D. Salinger;The Catcher in the Rye;eng;3.79;2044241;2120637;44920
9;Dan Brown;Angels & Demons  (Robert Langdon, #1);en-CA;3.85;2001311;2078754;25112
10;Jane Austen;Pride and Prejudice;eng;4.24;2035490;2191465;49152
11;Khaled Hosseini;The Kite Runner;eng;4.26;1813044;1878095;59730
12;Veronica Roth;Divergent (Divergent, #1);eng;4.24;1903563;2216814;101023
13;George Orwell, Erich Fromm, CelÃ¢l Ãœster;1984;eng;4.14;1956832;2053394;45518
14;George Orwell;Animal Farm;eng;3.87;1881700;1982987;35472
15;Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday;The Diary of a Young Girl;eng;4.1;1972666;2024493;20825
16;Stieg Larsson, Reg Keeland;The Girl with the Dragon Tattoo (Millennium, #1);eng;4.11;1808403;1929834;62543
17;Suzanne Collins;Catching Fire (The Hunger Games, #2);eng;4.3;1831039;1988079;88538
18;J.K. Rowling, Mary GrandPrÃ©, Rufus Beck;Harry Potter and the Prisoner of Azkaban (Harry Potter, #3);eng;4.53;1832823;1969375;36099
19;J.R.R. Tolkien;The Fellowship of the Ring (The Lord of the Rings, #1);eng;4.34;1766803;1832541;15333
20;Suzanne Collins;Mockingjay (The Hunger Games, #3);eng;4.03;1719760;1870748;96274
21;J.K. Rowling, Mary GrandPrÃ©;Harry Potter and the Order of the Phoenix (Harry Potter, #5);eng;4.46;1735368;1840548;28685
22;Alice Sebold;The Lovely Bones;eng;3.77;1605173;1661562;36642
23;J.K. Rowling, Mary GrandPrÃ©;Harry Potter and the Chamber of Secrets (Harry Potter, #2);eng;4.37;1779331;1906199;34172
24;J.K. Rowling, Mary GrandPrÃ©;Harry Potter and the Goblet of Fire (Harry Potter, #4);eng;4.53;1753043;1868642;31084
25;J.K. Rowling, Mary GrandPrÃ©;Harry Potter and the Deathly Hallows (Harry Potter, #7);eng;4.61;1746574;1847395;51942
26;Dan Brown;The Da Vinci Code (Robert Langdon, #2);eng;3.79;1447148;1557292;41560
27;J.K. Rowling, Mary GrandPrÃ©;Harry Potter and the Half-Blood Prince (Harry Potter, #6);eng;4.54;1678823;1785676;27520
28;William Golding;Lord of the Flies;eng;3.64;1605019;1671484;26886
29;William Shakespeare, Robert           Jackson;Romeo and Juliet;eng;3.73;1628519;1672889;14778
30;Gillian Flynn;Gone Girl;eng;4.03;512475;1626519;121614
31;Kathryn Stockett;The Help;eng;4.45;1531753;1603545;78204
32;John Steinbeck;Of Mice and Men;eng;3.84;1467496;1518741;24642
33;Arthur Golden;Memoirs of a Geisha;eng;4.08;1300209;1418172;25605
34;E.L. James;Fifty Shades of Grey (Fifty Shades, #1);eng;3.67;1338493;1436818;75437
35;Paulo Coelho, Alan R. Clarke;The Alchemist;eng;3.82;1299566;1403995;55781
36;Lois Lowry;The Giver (The Giver, #1);eng;4.12;1296825;1345445;54084
37;C.S. Lewis;The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1);eng;4.19;1531800;1584884;15186
38;Audrey Niffenegger;The Time Traveler's Wife;eng;3.95;746287;1308667;43382
39;George R.R. Martin;A Game of Thrones (A Song of Ice and Fire, #1);eng;4.45;1319204;1442220;46205
40;Elizabeth Gilbert;Eat, Pray, Love;eng;3.51;1181647;1206597;49714
41;Rick Riordan;The Lightning Thief (Percy Jackson and the Olympians, #1);eng;4.23;1366265;1411114;46006
42;Louisa May Alcott;Little Women (Little Women, #1);en-US;4.04;1257121;1314293;17090
43;Charlotte BrontÃ«, Michael Mason;Jane Eyre;eng;4.1;1198557;1286135;31212
44;Nicholas Sparks;The Notebook (The Notebook, #1);eng;4.06;1053403;1076749;17279
45;Yann Martel;Life of Pi;;3.88;1003228;1077431;42962
46;Sara Gruen;Water for Elephants;eng;4.07;1068146;1108839;55732
47;Markus Zusak;The Book Thief;eng;4.36;1159741;1287798;93611
48;Ray Bradbury;Fahrenheit 451;spa;3.97;570498;1176240;30694
49;Stephenie Meyer;New Moon (Twilight, #2);eng;3.52;1149630;1199000;44020
50;Shel Silverstein;Where the Sidewalk Ends;eng;4.29;1016888;1023781;9234
51;Cassandra Clare;City of Bones (The Mortal Instruments, #1);eng;4.12;1154031;1241799;51589
52;Stephenie Meyer;Eclipse (Twilight, #3);en-US;3.69;1134511;1176642;35216
53;Christopher Paolini;Eragon (The Inheritance Cycle, #1);en-US;3.86;1104021;1125231;18280
54;Douglas Adams;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);en-US;4.2;936782;1006479;20345
55;Aldous Huxley;Brave New World;eng;3.97;1022601;1079135;20095
56;Stephenie Meyer;Breaking Dawn (Twilight, #4);en-US;3.7;1070245;1107709;44550
57;Sue Monk Kidd;The Secret Life of Bees;en-US;4.01;916189;937393;26522
58;Mark Twain, John Seelye, Guy Cardwell;The Adventures of Huckleberry Finn;eng;3.8;953758;1001491;12448
59;E.B. White, Garth Williams, Rosemary Wells;Charlotte's Web;eng;4.15;1064521;1084842;13044
60;Mark Haddon;The Curious Incident of the Dog in the Night-Time;eng;3.85;867553;915790;35796
61;Paula Hawkins;The Girl on the Train;eng;3.88;1008778;1226485;93600
62;Philip Pullman;The Golden Compass (His Dark Materials, #1);eng;3.94;953970;994914;14915
63;Emily BrontÃ«, Richard J. Dunn;Wuthering Heights;eng;3.82;899195;1001135;26157
64;Jodi Picoult;My Sister's Keeper;eng;4.06;863879;887880;30719
65;Kurt Vonnegut Jr.;Slaughterhouse-Five;eng;4.06;846488;891762;19646
66;Margaret Mitchell;Gone with the Wind;eng;4.28;873981;897303;16050
67;Khaled Hosseini;A Thousand Splendid Suns;eng;4.34;818742;866065;43645
68;Stephen Chbosky;The Perks of Being a Wallflower;eng;4.21;888806;954905;47116
69;Veronica Roth;Insurgent (Divergent, #2);eng;4.07;836362;947338;55873
70;Orson Scott Card;Ender's Game (Ender's Saga, #1);eng;4.3;813439;873417;38054
71;Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle;;;;;;
72;Stephen King;The Shining (The Shining #1);eng;4.17;791850;830881;14936
73;Stephenie Meyer;The Host (The Host, #1);en-US;3.84;749780;777560;39778
74;John Green;Looking for Alaska;eng;4.09;783470;831285;47128
75;Helen Fielding;Bridget Jones's Diary (Bridget Jones, #1);eng;3.75;736498;754498;8157
76;Jane Austen, Tony Tanner, Ros Ballaster;Sense and Sensibility;eng;4.06;738894;779382;11526
77;Louis Sachar, Louis Sachar;Holes (Holes, #1);eng;3.93;747445;764637;15832
78;Lauren Weisberger;The Devil Wears Prada (The Devil Wears Prada, #1);eng;3.7;665930;679845;8024
79;Homer, Robert Fagles, E.V. Rieu, FrÃ©dÃ©ric Mugler, Bernard Knox;The Odyssey;eng;3.73;670326;710757;8101
80;Antoine de Saint-ExupÃ©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta;The Little Prince;eng;4.28;738757;859286;24537
81;Jeannette Walls;The Glass Castle;eng;4.24;621099;637866;40777
82;Jon Krakauer;Into the Wild;eng;3.94;647684;665377;17299
83;Charles Dickens, Richard Maxwell, Hablot Knight Browne;A Tale of Two Cities;eng;3.81;637412;677713;13093
84;Michael Crichton;Jurassic Park (Jurassic Park, #1);spa;3.96;447833;650483;8143
85;Shel Silverstein;The Giving Tree;eng;4.38;702332;708287;14368
86;John Grisham;A Time to Kill;eng;4.03;597775;608824;4239
87;Elie Wiesel, Marion Wiesel;Night (The Night Trilogy #1);eng;4.3;691231;707879;22001
88;John Green;Paper Towns;en-US;3.88;461311;655271;42717
89;William Goldman;The Princess Bride ;en-US;4.25;628637;658042;15630
90;S.E. Hinton;The Outsiders;en-US;4.06;659248;680437;22662
91;James Dashner;The Maze Runner (Maze Runner, #1);eng;4.02;719925;777956;48942
92;Steven D. Levitt, Stephen J. Dubner;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1);en-US;3.93;524191;549301;13668
93;Frances Hodgson Burnett;The Secret Garden;eng;4.12;639357;692249;13054
94;Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa;One Hundred Years of Solitude;eng;4.04;490565;575667;21671
95;Oscar Wilde, Jeffrey Eugenides;The Picture of Dorian Gray;eng;4.06;590014;674551;19647
96;E.L. James;Fifty Shades Freed (Fifty Shades, #3);eng;3.88;387290;610116;25287
97;Bram Stoker, Nina Auerbach, David J. Skal;Dracula;eng;3.98;618973;689739;17263
98;Stieg Larsson, Reg Keeland;The Girl Who Played with Fire (Millennium, #2);eng;4.22;563994;649253;31423
99;E.L. James;Fifty Shades Darker (Fifty Shades, #2);eng;3.87;552059;623340;28052
100;Barbara Kingsolver;The Poisonwood Bible;eng;4.02;546502;562787;19941
101;David Sedaris;Me Talk Pretty One Day;eng;3.97;495736;514276;14982
102;Maurice Sendak;Where the Wild Things Are;eng;4.22;620618;636061;9102
103;Alexandre Dumas, Robin Buss;The Count of Monte Cristo;eng;4.21;555822;601220;15925
104;Cormac McCarthy;The Road;eng;3.95;504793;555787;38980
105;Veronica Roth;Allegiant (Divergent, #3);eng;3.63;463257;663226;62536
106;Tina Fey;Bossypants;eng;3.94;506250;609260;35142
107;Nicholas Sparks;A Walk to Remember;en-US;4.15;546948;559581;11071
108;Sophie Kinsella;Confessions of a Shopaholic (Shopaholic, #1);eng;3.61;543658;558004;11170
109;Victor Hugo, Lee Fahnestock, Norman MacAfee;Les MisÃ©rables;eng;4.14;513407;560132;12505
110;George R.R. Martin;A Clash of Kings  (A Song of Ice and Fire, #2);eng;4.4;523303;606765;20325
111;Kim Edwards;The Memory Keeper's Daughter;eng;3.64;501430;510582;18027
112;Jojo Moyes;Me Before You (Me Before You, #1);eng;4.27;587647;741133;71412
113;Joseph Heller;Catch-22;en-US;3.98;563265;582515;13734
114;Mitch Albom, Saulius Dagys;Tuesdays with Morrie;eng;4.06;556518;584397;19272
115;Jeffrey Eugenides;Middlesex;en-US;3.98;488243;507998;20880
116;Mark Twain, Guy Cardwell, John Seelye;The Adventures of Tom Sawyer;eng;3.89;555359;594226;7165
117;Madeleine L'Engle;A Wrinkle in Time (A Wrinkle in Time Quintet, #1);en-US;4.04;615907;650094;19413
118;Amy Tan;The Joy Luck Club;eng;3.9;515090;525243;6708
119;Margaret Atwood;The Handmaid's Tale;eng;4.06;607889;683564;35925
120;Ann Brashares;The Sisterhood of the Traveling Pants (Sisterhood, #1);eng;3.75;525706;536604;6477
121;Vladimir Nabokov, Craig Raine;Lolita;eng;3.88;469836;517990;18107
122;Gregory Maguire, Douglas Smith;Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1);eng;3.52;506900;525498;22926
123;John Grisham;The Firm (Penguin Readers, Level 5);eng;3.99;488269;488355;3139
124;Emma Donoghue;Room;eng;4.03;511360;556327;42254
125;William Shakespeare, Richard Andrews, Rex Gibson;Hamlet;eng;4.0;515820;576894;8889
126;Frank Herbert;Dune (Dune Chronicles #1);eng;4.19;485032;525976;13239
127;Malcolm Gladwell;The Tipping Point: How Little Things Can Make a Big Difference;eng;3.92;490504;499066;10895
128;Walter Isaacson;Steve Jobs;eng;4.09;560715;579256;15198
129;Ken Kesey;One Flew Over the Cuckoo's Nest;eng;4.18;491642;514458;7855
130;Ernest Hemingway;The Old Man and the Sea;eng;3.73;520630;574328;16716
131;John Steinbeck;The Grapes of Wrath;eng;3.92;322321;553352;12991
132;Mitch Albom;The Five People You Meet in Heaven;;3.9;449501;474699;16682
133;L.M. Montgomery;Anne of Green Gables (Anne of Green Gables, #1);eng;4.23;502247;533352;14041
134;Cassandra Clare;City of Glass (The Mortal Instruments, #3);en-US;4.34;593173;630560;22736
135;George R.R. Martin;A Storm of Swords (A Song of Ice and Fire, #3);eng;4.54;469022;527644;19497
136;Rebecca Wells;Divine Secrets of the Ya-Ya Sisterhood;en-US;3.79;465676;470508;3867
137;Diana Gabaldon;Outlander (Outlander, #1);eng;4.2;515547;578842;36707
138;Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym;The Scarlet Letter;eng;3.37;509883;559246;11428
139;Ransom Riggs;Miss Peregrineâ€™s Home for Peculiar Children (Miss Peregrineâ€™s Peculiar Children, #1);en-US;3.89;613674;672222;53569
140;Stieg Larsson, Reg Keeland;The Girl Who Kicked the Hornet's Nest (Millennium, #3);en-US;4.2;443951;526791;26766
141;Andy Weir;The Martian;eng;4.39;423344;529702;61298
142;Ken Follett;The Pillars of the Earth (The Kingsbridge Series, #1);eng;4.29;462517;495893;26283
143;Anthony Doerr;All the Light We Cannot See;eng;4.31;470001;547827;53413
144;Laura Hillenbrand;Unbroken: A World War II Story of Survival, Resilience, and Redemption;eng;4.4;487775;528552;41572
145;Dan Brown;Deception Point;eng;3.67;455610;479733;7798
146;Donna Tartt;The Goldfinch;eng;3.87;396756;463847;44631
147;Jay Asher;Thirteen Reasons Why;eng;4.02;463783;571281;43467
148;Tracy Chevalier;Girl with a Pearl Earring;eng;3.85;467577;492177;8011
149;Gayle Forman;If I Stay (If I Stay, #1);en-US;3.96;503527;567087;34959
150;Anita Diamant;The Red Tent;en-US;4.16;424981;449217;17234
151;Rick Riordan;The Sea of Monsters (Percy Jackson and the Olympians, #2);eng;4.23;514932;550512;20097
152;Nicholas Sparks;Dear John;en-US;4.01;441062;454781;10626
153;Cassandra Clare;City of Ashes (The Mortal Instruments, #2);eng;4.21;541117;586008;23643
154;William Shakespeare;Macbeth;eng;3.88;496018;524826;7609
155;J.R.R. Tolkien;The Two Towers (The Lord of the Rings, #2);en-US;4.42;480446;532209;6980
156;Emily Giffin;Something Borrowed (Darcy & Rachel, #1);eng;3.83;403601;435189;11567
157;Dr. Seuss, ×œ××” × ××•×¨;Green Eggs and Ham;en-US;4.29;457475;461041;7370
158;Roald Dahl, Quentin Blake;Charlie and the Chocolate Factory (Charlie Bucket, #1);eng;4.1;453959;494747;8473
159;Rick Riordan;The Battle of the Labyrinth (Percy Jackson and the Olympians, #4);eng;4.39;508214;537708;14098
160;Charles Dickens;Great Expectations;eng;3.75;459247;507187;12311
161;J.R.R. Tolkien;The Return of the King (The Lord of the Rings, #3);en-US;4.51;463959;510537;6644
162;Albert Camus, Matthew    Ward;The Stranger;eng;3.96;420600;483623;14836
163;Rick Riordan;The Lost Hero (The Heroes of Olympus, #1);eng;4.35;271576;489495;17107
164;Rainbow Rowell;Eleanor & Park;eng;4.11;514312;579753;53005
165;George R.R. Martin;A Feast for Crows (A Song of Ice and Fire, #4);en-US;4.1;428186;481130;18876
166;Ally Condie;Matched (Matched, #1);eng;3.68;511815;530680;30226
167;Neil Gaiman;American Gods (American Gods, #1);eng;4.11;378019;518343;27587
168;Stephen King, Bernie Wrightson;The Stand;en-US;4.34;438832;469953;13808
169;Nicholas Sparks;The Last Song;en-GB;4.14;424637;438429;11051
170;Dan Brown;Digital Fortress;en-GB;3.6;423019;447503;7538
171;Jane Austen, Fiona Stafford;Emma;eng;3.99;459826;497949;11724
172;Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude;Anna Karenina;eng;4.02;297472;472796;18064
173;Anthony Burgess;A Clockwork Orange;eng;3.98;431195;454391;9958
174;William Paul Young;The Shack;eng;3.74;419539;438292;29377
175;Rick Riordan;The Last Olympian (Percy Jackson and the Olympians, #5);eng;4.5;397500;499510;17693
176;Stephen King;It;en-US;4.18;292592;479381;11698
177;Fyodor Dostoyevsky, David McDuff;Crime and Punishment;eng;4.18;380903;444675;12605
178;Sylvia Plath;The Bell Jar;en-US;3.98;401605;442157;15963
179;Frank McCourt;Angela's Ashes (Frank McCourt, #1);eng;4.07;392103;419746;9798
180;Hermann Hesse, Hilda Rosner;Siddhartha;eng;3.99;372099;418653;11518
181;Truman Capote;In Cold Blood;eng;4.05;381652;401839;11754
182;Kami Garcia, Margaret Stohl;Beautiful Creatures (Caster Chronicles, #1);eng;3.76;436093;458518;20808
183;Cassandra Clare;Clockwork Angel (The Infernal Devices, #1);eng;4.33;490890;515759;24385
184;Roald Dahl, Quentin Blake;Matilda;eng;4.29;440743;463491;11053
185;Erin Morgenstern;The Night Circus;eng;4.03;429543;474826;54008
